product_id,product_name,category,total_revenue,units_sold
P003,Compact Camping Cookware Kit,camping cookware,239.94,6
P004,Nonstick Portable Fry Pan,camping cookware,224.91,9
P011,Portable Camping Kettle,camping cookware,179.94,6
P007,BPA-Free Trail Water Bottle,camping drinkware,153.93,7
P001,Stainless Steel Camping Utensil Set,camping utensils,151.92,8
P009,Family Camping Dinnerware Bundle,camping dinnerware,109.98,2
P008,Hard Shell Camping Utensil Case,storage,74.95,5
P012,Lightweight Outdoor Knife and Fork Set,camping utensils,63.96,4
P010,Reusable Camp Cleaning Cloth Set,camping accessories,62.93,7
P002,Titanium Folding Spork,camping utensils,62.45,5
