order_item_id,order_id,product_id,quantity,unit_price,line_total
OI00001,O0001,P004,3,24.99,74.97
OI00002,O0001,P012,1,15.99,15.99
OI00003,O0001,P003,3,39.99,119.97
OI00004,O0002,P004,1,24.99,24.99
OI00005,O0003,P004,1,24.99,24.99
OI00006,O0003,P008,1,14.99,14.99
OI00007,O0003,P010,3,8.99,26.97
OI00008,O0003,P005,2,9.99,19.98
OI00009,O0004,P002,1,12.49,12.49
OI00010,O0004,P012,2,15.99,31.98
OI00011,O0004,P007,2,21.99,43.98
OI00012,O0005,P007,1,21.99,21.99
OI00013,O0006,P001,3,18.99,56.97
OI00014,O0007,P002,2,12.49,24.98
OI00015,O0007,P007,2,21.99,43.98
OI00016,O0008,P011,3,29.99,89.97
OI00017,O0008,P005,3,9.99,29.97
OI00018,O0009,P003,2,39.99,79.98
OI00019,O0009,P008,2,14.99,29.98
OI00020,O0010,P004,1,24.99,24.99
OI00021,O0011,P010,1,8.99,8.99
OI00022,O0011,P006,3,16.99,50.97
OI00023,O0012,P005,1,9.99,9.99
OI00024,O0012,P003,3,39.99,119.97
OI00025,O0013,P004,2,24.99,49.98
OI00026,O0013,P003,1,39.99,39.99
OI00027,O0013,P009,1,54.99,54.99
OI00028,O0014,P010,3,8.99,26.97
OI00029,O0014,P002,2,12.49,24.98
OI00030,O0014,P007,3,21.99,65.97
OI00031,O0014,P012,2,15.99,31.98
OI00032,O0015,P011,2,29.99,59.98
OI00033,O0015,P006,2,16.99,33.98
OI00034,O0015,P002,1,12.49,12.49
OI00035,O0016,P009,1,54.99,54.99
OI00036,O0016,P003,3,39.99,119.97
OI00037,O0016,P012,2,15.99,31.98
OI00038,O0017,P009,1,54.99,54.99
OI00039,O0017,P012,3,15.99,47.97
OI00040,O0018,P005,1,9.99,9.99
OI00041,O0018,P004,3,24.99,74.97
OI00042,O0018,P001,1,18.99,18.99
OI00043,O0019,P003,2,39.99,79.98
OI00044,O0019,P011,3,29.99,89.97
OI00045,O0020,P004,2,24.99,49.98
OI00046,O0020,P009,3,54.99,164.97
OI00047,O0020,P012,3,15.99,47.97
OI00048,O0020,P005,2,9.99,19.98
OI00049,O0021,P004,2,24.99,49.98
OI00050,O0021,P002,1,12.49,12.49
OI00051,O0022,P004,1,24.99,24.99
OI00052,O0023,P005,2,9.99,19.98
OI00053,O0023,P011,1,29.99,29.99
OI00054,O0024,P007,3,21.99,65.97
OI00055,O0024,P004,2,24.99,49.98
OI00056,O0024,P002,2,12.49,24.98
OI00057,O0024,P010,2,8.99,17.98
OI00058,O0025,P001,2,18.99,37.98
OI00059,O0026,P009,1,54.99,54.99
OI00060,O0026,P008,2,14.99,29.98
OI00061,O0027,P008,3,14.99,44.97
OI00062,O0028,P002,1,12.49,12.49
OI00063,O0029,P007,1,21.99,21.99
OI00064,O0029,P001,2,18.99,37.98
OI00065,O0030,P005,1,9.99,9.99
OI00066,O0030,P007,1,21.99,21.99
OI00067,O0030,P009,2,54.99,109.98
OI00068,O0030,P008,1,14.99,14.99
OI00069,O0031,P001,2,18.99,37.98
OI00070,O0031,P012,3,15.99,47.97
OI00071,O0031,P010,3,8.99,26.97
OI00072,O0032,P002,1,12.49,12.49
OI00073,O0032,P010,3,8.99,26.97
